"rt","f","type"
1.21800005435944,6,"lm"
1.41799997538328,1,"ms"
1.47300001233816,2,"msms"
1.52899995446205,3,"msms"
1.58399999141693,4,"msms"
1.63900002837181,5,"msms"
1.83999996632338,1,"ms"
1.89499989151955,2,"msms"
1.94999992847443,3,"msms"
2.00599998235703,4,"msms"
2.0610000193119,5,"msms"
2.26100005209446,1,"ms"
2.31700010597706,2,"msms"
2.37199991941452,3,"msms"
2.4269999563694,4,"msms"
2.483000010252,5,"msms"
2.68300004303455,1,"ms"
2.73800007998943,2,"msms"
2.79399991035461,3,"msms"
2.84999996423721,4,"msms"
2.90500000119209,5,"msms"
3.10500003397465,1,"ms"
3.16000007092953,2,"msms"
3.21599990129471,3,"msms"
3.27099993824959,4,"msms"
3.32599997520447,5,"msms"
3.52700002491474,1,"ms"
3.58200006186962,2,"msms"
3.6370000988245,3,"msms"
3.69299992918968,4,"msms"
3.74799996614456,5,"msms"
3.94800022244453,1,"ms"
4.0039998292923,2,"msms"
4.05899986624718,3,"msms"
4.11499992012978,4,"msms"
4.16999995708466,5,"msms"
4.37000021338463,1,"ms"
4.42599982023239,2,"msms"
4.48099985718727,3,"msms"
4.53599989414215,4,"msms"
4.59199994802475,5,"msms"
4.79200020432472,1,"ms"
4.84799981117249,2,"msms"
4.90299984812737,3,"msms"
4.95799988508224,4,"msms"
5.01299992203712,5,"msms"
5.21400019526482,1,"ms"
5.26899978518486,2,"msms"
5.32399982213974,3,"msms"
5.37899985909462,4,"msms"
5.43499991297722,5,"msms"
5.63500016927719,1,"ms"
5.69100022315979,2,"msms"
5.74599981307983,3,"msms"
5.80099985003471,4,"msms"
5.85699990391731,5,"msms"
6.05700016021729,1,"ms"
6.11200019717216,2,"msms"
6.16799980401993,3,"msms"
6.22299984097481,4,"msms"
6.27799987792969,5,"msms"
6.47900015115738,1,"ms"
6.53400018811226,2,"msms"
6.5889997780323,3,"msms"
6.64399981498718,4,"msms"
6.69999986886978,5,"msms"
6.90000012516975,1,"ms"
6.95500016212463,2,"msms"
7.01000019907951,3,"msms"
7.06599980592728,4,"msms"
7.12099984288216,5,"msms"
7.32200011610985,1,"ms"
7.37700015306473,2,"msms"
7.43300020694733,3,"msms"
7.48799979686737,4,"msms"
7.54300028085709,5,"msms"
7.74300009012222,1,"ms"
7.79900014400482,2,"msms"
7.85399973392487,3,"msms"
7.90900021791458,4,"msms"
7.96500027179718,5,"msms"
8.16500008106232,1,"ms"
8.21999967098236,2,"msms"
8.27599972486496,3,"msms"
8.33100020885468,4,"msms"
8.38599979877472,5,"msms"
8.58700007200241,1,"ms"
8.64199966192245,2,"msms"
8.69700014591217,3,"msms"
8.75199973583221,4,"msms"
8.80799978971481,5,"msms"
9.00799959897995,1,"ms"
9.06300008296967,2,"msms"
9.11900013685226,3,"msms"
9.17399972677231,4,"msms"
9.22900021076202,5,"msms"
9.42900002002716,1,"ms"
9.48500007390976,2,"msms"
9.5399996638298,3,"msms"
9.59500014781952,4,"msms"
9.64999973773956,5,"msms"
9.85100001096725,1,"ms"
9.9059996008873,2,"msms"
9.9619996547699,3,"msms"
