"mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","peak_mzmin","peak_mzmax","peak_rtmin","peak_rtmax"
70.0651537072788,70.0419164357705,70.0652064655633,820.8425,633.882,1109.32,154,70.0418548583984,70.0652389526367,625.581,1126.86
71.0490000596207,71.047957090349,71.0854899805662,237.8715,124.563,270.341,40,71.0478668212891,71.0855331420898,122.025,275.487
71.0685433434118,71.0684456856115,71.0727941143452,740.076,705.254,828.793,50,71.0683898925781,71.0728607177734,698.869,832.612
71.0491659772564,71.0491196149795,71.2324267002113,486.944,467.815,567.797,23,71.0490112304688,71.2324676513672,463.428,574.166
72.0444155860857,72.0443582755165,72.080786402917,1109.38,1060.04,1165.52,35,72.0442810058594,72.0808410644531,1056.05,1183.22
72.0807821157851,72.0645303106698,72.0971832431863,707.741,636.364,841.749,37,72.0644149780273,72.0972518920898,616.131,876.711
73.0282056589658,73.0281200915552,73.0282651490846,475.372,465.397,538.486,31,73.0280227661133,73.0283737182617,456.168,562.596
73.0648026847777,73.0647413315389,73.2236012085633,549.9915,517.226,575.146,50,73.0646667480469,73.2236480712891,507.021,619.32
74.0600269301843,74.059954547148,74.0964355867917,584.49,499.347,685.142,48,74.0598907470703,74.0964508056641,488.015,687.624
74.0600008616859,74.0599544764477,74.0964219965378,802.727,771.862,836.699,35,74.0598831176758,74.0964965820312,768.153,839.18
76.039280935809,76.03923954815,76.0393096751525,839.036,828.315,911.238,36,76.0391998291016,76.0393600463867,818.995,916.319
76.0756714848776,76.0583169943419,76.07567523343,1243.61,1231,1261.06,27,76.0581817626953,76.0757064819336,1198.37,1283.22
77.0789923457772,77.0418725316965,77.079038588995,1245.9,1224.34,1271.08,51,77.0418167114258,77.0790557861328,1210.69,1278.9
78.9556353901032,78.9555827288366,79.0290483413943,893.48,854.171,971.1,52,78.9555053710938,79.0290985107422,833.874,980.43
79.9896605949618,79.9896029203946,80.0494563556048,890.03,817.877,1110.56,98,79.9895248413086,80.0495147705078,792.04,1115.79
81.0334827905313,81.0334458249891,81.0336158830014,633.8755,570.345,670.207,34,81.0333099365234,81.0336532592773,552.944,700.188
81.0334452129532,81.0333406969293,81.0698452075201,436.808,374.719,481.54,38,81.0331726074219,81.0699081420898,370.922,502.911
81.0698041592041,81.0333501532226,81.0698886998067,261.893,138.788,351.746,39,81.0331954956055,81.0699691772461,133.778,408.61
81.0334713175828,80.9537395025525,81.0446961881896,829.631,788.673,906.896,34,80.9537200927734,81.0447387695312,783.669,935.635
82.0523189768239,81.9877719238235,82.0651119645201,819.4855,735.277,962.708,52,81.9877395629883,82.0651626586914,691.733,967.934
83.0547280682525,82.9448934951455,83.0854499158936,348.7875,158.051,495.266,118,82.9448471069336,83.0855331420898,152.649,521.602
83.0491317728643,83.0490431362188,83.060401819502,685.16,608.677,749.236,40,83.0489959716797,83.060417175293,568.151,754.232
84.0442769533461,84.044166169055,84.0805557073111,579.016,507.963,633.81,79,84.044059753418,84.0806350708008,477.416,640.065
84.0442986724379,84.0441728041857,84.0808097521067,444.145,372.044,500.395,58,84.0440216064453,84.0809020996094,352.883,513.056
84.044358633203,84.0442753341143,84.0805790916949,798.258,735.001,860.569,46,84.0441741943359,84.0806121826172,670.207,871.22
84.080743395525,84.0524664712431,84.0807982754851,705.0205,693.758,709.865,22,84.0524291992188,84.0808181762695,686.038,718.552
84.0806053025008,84.0637020185385,84.0807116933079,1092.095,1010.36,1097.22,22,84.0636138916016,84.0807418823242,1006.15,1106.8
85.0283161901248,84.9111884652931,85.0284232512448,833.091,731.098,897.176,81,84.9111633300781,85.0284957885742,728.622,921.446
85.0283650656752,85.02826909605,85.0284380707288,546.89,433.08,642.24,63,85.0280990600586,85.0285110473633,428.137,648.437
86.0963623002377,86.0599476346666,86.1177265668747,645.523,587.978,713.865,73,86.0598983764648,86.1179122924805,582.851,720.15
86.0599916558502,86.0599483107643,86.0964312922336,438.158,364.602,560.614,73,86.0598526000977,86.0964660644531,344.225,565.748
86.0809165710882,86.0599445367413,86.0963915649706,805.47,730.438,915.465,77,86.0598602294922,86.0965042114258,688.63,925.617
86.0599851681237,86.0599771855521,86.096419849851,1230.6,1144.03,1241.33,25,86.0598831176758,86.0964889526367,1138.88,1284.94
87.0440532423646,87.0439992569232,87.0916677501165,440.538,402.28,504.218,30,87.0439147949219,87.0917587280273,325.285,528.153
87.0997372154727,87.0440285497231,87.0998339191046,635.859,617.616,701.018,29,87.0439834594727,87.0998840332031,613.893,706.019
87.0440526094737,87.0439360258557,87.0916844997265,820.7905,738.535,978.606,78,87.0438919067383,87.0917282104492,733.126,1000.77
88.1120411371535,88.0756577410235,88.1120995176319,196.029,4.36387,302.555,66,88.0756072998047,88.112190246582,0.113237,307.715
88.0585874093005,88.0472870817377,88.0757545984979,819.669,731.061,824.589,37,88.047248840332,88.0758361816406,726.15,833.306
89.0708935341132,89.0596307468795,89.1072824952994,1109.73,1023.76,1145.51,45,89.0595855712891,89.1073837280273,1018.5,1189.6
89.1072704097562,89.0481943732185,89.1073504608843,802.399,732.339,900.841,50,89.0481338500977,89.1074371337891,675.831,926.221
89.0596596081393,89.0595998172513,89.1072821151799,475.512,390.804,579.954,38,89.0595245361328,89.1073532104492,335.882,585.09
90.0913265703757,90.0535177219452,90.1106867013878,958.18,906.684,1022.6,37,90.0534973144531,90.1107177734375,902.92,1039.74
90.0549440654528,90.0548640829115,90.1106703674808,816.226,768.567,892.538,66,90.0547943115234,90.1106796264648,758.656,897.538
91.0540402472476,91.0538340544192,91.0753775940372,575.804,529.486,608.922,43,91.0537414550781,91.0754547119141,523.307,622.292
91.0946598329744,91.0582617509663,91.0975629444312,957.577,903.749,997.196,30,91.0581970214844,91.0975952148438,899.932,1004.95
91.0582623790949,91.0519283802135,91.0611867245826,797.2895,764.048,864.591,32,91.0518417358398,91.0612030029297,754.041,868.472
92.0705647137363,92.0705505217078,92.09556790404,969.733,958.234,979.53,28,92.0704803466797,92.0955963134766,944.034,1026.9
93.0546325692479,93.0545791237243,93.0698574585524,742.3215,592.838,757.952,46,93.0545196533203,93.0699081420898,574.921,770.145
94.0650876228739,94.065053927611,94.0651137815983,1226.11,1204.36,1245.34,26,94.0649871826172,94.0651473999023,1189.6,1266.22
94.9295708469234,94.9281310115255,94.9295973725323,893.35,858.089,946.482,43,94.9280700683594,94.9296417236328,853.237,951.341
95.0603363778772,95.0490474440493,95.0855280082879,275.086,168.388,390.612,85,95.0489730834961,95.0856552124023,115.564,408.474
95.0603319263894,95.049072328372,95.0855543077815,495.2475,400.466,615.205,58,95.0489883422852,95.0855865478516,387.902,654.144
