"mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","peak_mzmin","peak_mzmax","peak_rtmin","peak_rtmax"
70.0649575670731,70.0648861344036,70.0651240628272,1078.86,984.825,1106.89,45,70.0647583007812,70.0651550292969,968.446,1142.33
70.0650105852034,70.064883136974,70.0650566800433,738.374,680.509,821.517,43,70.0648040771484,70.0651550292969,674.336,825.222
70.064957434743,70.0648537227531,70.0650542307283,592.1455,581.578,626.955,24,70.0647583007812,70.0650863647461,534.577,634.396
72.0443719971257,72.0442936380008,72.0807958781647,1114.155,1070.64,1209.38,48,72.0441970825195,72.0808258056641,1059.44,1213.16
72.0807248573304,72.04412102591,72.0808549450528,704.209,652.423,752.813,47,72.0440216064453,72.0808868408203,645.432,757.763
72.0555599871773,72.0443701367492,72.080801130885,817.682,767.698,957.27,52,72.0443344116211,72.0808181762695,762.749,962.301
72.0807899773617,72.0643142907413,72.0974371469705,1387.7,1290.73,1430.05,40,72.0642242431641,72.0976028442383,1281.35,1439.56
72.0805995690282,72.0804892713083,72.0806668657853,590.172,526.915,604.142,39,72.0803298950195,72.0807571411133,470.957,656.933
73.0396403353864,73.028158335175,73.0632744770233,832.472,803.705,835.998,37,73.0280685424805,73.0633392333984,792.21,852.505
73.0841217806688,73.075996530997,73.0841511122093,1381.54,1293.58,1432.8,89,73.0759811401367,73.0841827392578,1288.54,1436.83
74.0600103495887,74.0232982137681,74.0600488474759,1040.43,893.734,1187.94,61,74.0231552124023,74.0600891113281,884.801,1196.92
74.0600159628334,74.0599539830849,74.0964100847232,779.606,765.006,863.982,33,74.0599060058594,74.0964584350586,753.566,868.97
74.0600480419787,74.0234536723238,74.0964523235155,673.787,484.463,704.341,31,74.0233688354492,74.0965042114258,478.29,708.045
74.071247965739,74.0712178923186,74.0964248256785,1013.92,888.469,1277.14,107,74.071159362793,74.096435546875,883.469,1285.01
75.0683159261112,75.0262642506352,75.0997953335257,1002.16,938.309,1129.74,181,75.0262222290039,75.0998382568359,933.338,1133.52
76.0392862374105,76.0392720669577,76.0393578084695,826.293,818.593,927.327,36,76.0392379760742,76.0393829345703,751.779,934.822
76.0756767433001,76.0392807817083,76.0757622235641,633.642,540.796,733.69,53,76.0392532348633,76.0757904052734,523.209,739.861
77.0790077180178,77.0726618903361,77.0820301623831,630.075,611.486,665.764,85,77.0726165771484,77.0820465087891,597.266,673.168
78.0799238059556,78.0661492165256,78.0800367249755,628.808,610.32,643.509,39,78.0660934448242,78.080078125,604.002,659.335
78.9556377415678,78.9555884168671,79.0290631760438,885.275,809.289,1014.6,91,78.9555130004883,79.0291061401367,795.735,1017.27
79.9896606041799,79.9896181305209,80.0494958674721,880.71,806.941,1056.72,123,79.9894943237305,80.0495452880859,797.881,1059.22
80.9478578376141,80.9477811574749,81.0447981544111,720.4975,646.03,773.368,52,80.9477310180664,81.0448837280273,634.869,779.558
81.9877932050842,81.9877546803763,82.0524960099386,861.8665,652.242,932.098,58,81.987663269043,82.0526428222656,641.086,945.908
83.0215217710632,82.9447938187351,83.0603224748284,743.568,676.869,812.092,103,82.9447326660156,83.0603790283203,660.546,863.431
83.0853523386974,83.080279723627,83.0854597293351,262.174,119.625,264.709,21,83.0801467895508,83.0855026245117,115.834,269.147
84.0556074124261,84.0443096249391,84.0636995373687,1162.57,1106.82,1274.68,93,84.0442504882812,84.0637283325195,1104.15,1278.48
84.0442661258359,84.0441041500705,84.0806873324169,274.235,134.055,380.068,85,84.0439605712891,84.0807647705078,130.243,435.747
84.0806827076678,84.0442389810955,84.0807911719507,794.1445,703.32,804.22,58,84.0441741943359,84.0808563232422,689.398,823.631
84.0442442122094,84.0441305170188,84.0637198853457,425.698,381.417,500.977,30,84.0440444946289,84.0637512207031,375.238,504.682
